# k lgTauR  lgTau5      T        Pe           
  1 -5.00 -4.9174   4066.8  2.1166E-02    
  2 -4.80 -4.7204   4102.6  2.7299E-02    
  3 -4.60 -4.5278   4145.9  3.5324E-02    
  4 -4.40 -4.3377   4190.4  4.5691E-02    
  5 -4.20 -4.1484   4235.5  5.9048E-02    
  6 -4.00 -3.9593   4280.8  7.6224E-02    
  7 -3.80 -3.7697   4326.1  9.8282E-02    
  8 -3.60 -3.5795   4371.3  1.2657E-01    
  9 -3.40 -3.3887   4416.3  1.6281E-01    
 10 -3.20 -3.1971   4461.0  2.0918E-01    
 11 -3.00 -3.0049   4504.9  2.6833E-01    
 12 -2.90 -2.9086   4527.4  3.0391E-01    
 13 -2.80 -2.8122   4549.5  3.4404E-01    
 14 -2.70 -2.7157   4571.5  3.8937E-01    
 15 -2.60 -2.6191   4593.5  4.4056E-01    
 16 -2.50 -2.5223   4615.6  4.9838E-01    
 17 -2.40 -2.4256   4637.8  5.6371E-01    
 18 -2.30 -2.3287   4660.2  6.3756E-01    
 19 -2.20 -2.2318   4682.9  7.2109E-01    
 20 -2.10 -2.1349   4706.0  8.1568E-01    
 21 -2.00 -2.0379   4729.9  9.2301E-01    
 22 -1.90 -1.9409   4754.7  1.0449E+00    
 23 -1.80 -1.8440   4780.9  1.1840E+00    
 24 -1.70 -1.7471   4808.6  1.3429E+00    
 25 -1.60 -1.6502   4838.3  1.5251E+00    
 26 -1.50 -1.5534   4870.5  1.7351E+00    
 27 -1.40 -1.4568   4905.9  1.9786E+00    
 28 -1.30 -1.3602   4944.1  2.2607E+00    
 29 -1.20 -1.2637   4988.1  2.5945E+00    
 30 -1.10 -1.1673   5034.4  2.9831E+00    
 31 -1.00 -1.0711   5088.6  3.4525E+00    
 32 -0.90 -0.9750   5148.5  4.0172E+00    
 33 -0.80 -0.8789   5216.8  4.7142E+00    
 34 -0.70 -0.7829   5294.4  5.5939E+00    
 35 -0.60 -0.6868   5382.5  6.7372E+00    
 36 -0.50 -0.5907   5483.1  8.2870E+00    
 37 -0.40 -0.4944   5597.1  1.0474E+01    
 38 -0.30 -0.3980   5727.4  1.3720E+01    
 39 -0.20 -0.3012   5875.7  1.8744E+01    
 40 -0.10 -0.2043   6044.3  2.6799E+01    
 41  0.00 -0.1071   6235.2  4.0062E+01    
 42  0.10 -0.0099   6451.9  6.2545E+01    
 43  0.20  0.0872   6694.8  1.0098E+02    
 44  0.30  0.1838   6983.3  1.7239E+02    
 45  0.40  0.2791   7314.8  3.0484E+02    
 46  0.50  0.3729   7618.2  4.9491E+02    
 47  0.60  0.4654   7876.9  7.2951E+02    
 48  0.70  0.5569   8097.7  9.9924E+02    
 49  0.80  0.6480   8290.4  1.2998E+03    
 50  0.90  0.7390   8462.6  1.6307E+03    
 51  1.00  0.8301   8620.2  1.9943E+03    
 52  1.20  1.0136   8903.8  2.8264E+03    
 53  1.40  1.1991   9168.5  3.8577E+03    
 54  1.60  1.3869   9424.6  5.1514E+03    
 55  1.80  1.5774   9678.4  6.7920E+03    
 56  2.00  1.7707   9934.3  8.8917E+03  
